Date,Open,High,Low,Close,Adj Close,Volume,Cumulative_Return
2023/6/8,28.309999,28.309999,27.57,27.879999,27.779537,54600,
2023/6/9,27.85,27.85,27.309999,27.379999,27.28134,39400,
2023/6/12,27.389999,28.040001,27.309999,27.870001,27.769575,45000,
2023/6/13,27.92,28.139999,27.190001,27.469999,27.371016,108200,
2023/6/14,27.58,28.1,27.200001,27.26,27.161774,77300,
2023/6/15,27.1,27.65,26.75,27.65,27.550367,69700,
2023/6/16,27.75,28.209999,27.34,27.66,27.560331,129400,
2023/6/20,27.49,27.67,27.219999,27.49,27.390944,39100,
2023/6/21,27.4,27.549999,27.139999,27.48,27.38098,37200,
2023/6/22,27.290001,27.440001,26.940001,27.440001,27.341125,44500,
2023/6/23,27.120001,27.51,26.76,27.129999,27.03224,192400,
2023/6/26,26.959999,27.889999,26.959999,27.4,27.301268,89100,
2023/6/27,27.450001,27.66,27.059999,27.33,27.231522,81500,
2023/6/28,27.35,28.139999,27.200001,28.040001,27.938963,99200,
2023/6/29,33.25,35.59,33.25,33.759998,33.638351,582600,
2023/6/30,33.48,33.619999,31.66,32.470001,32.353001,226100,
2023/7/3,32.150002,33.189999,32.150002,33.150002,33.030552,77900,
2023/7/5,33.150002,33.34,32.380001,32.48,32.362965,124700,
2023/7/6,32,33.09,31.879999,33.049999,32.930908,76300,
2023/7/7,33.150002,34.130001,33.150002,33.66,33.538712,191100,
2023/7/10,33.669998,34.16,33.41,33.919998,33.797771,110600,
2023/7/11,34.009998,34.23,33.860001,34.189999,34.066799,96300,
2023/7/12,34.450001,34.73,33.5,33.57,33.449036,74500,
2023/7/13,33.700001,34.009998,33.549999,33.959999,33.837631,110300,
2023/7/14,33.77,34.220001,33.580002,34.02,33.897415,80300,
2023/7/17,34.049999,34.34,33.580002,33.73,33.608459,65900,
2023/7/18,33.860001,34.189999,33.360001,33.470001,33.349396,67500,
2023/7/19,33.669998,33.669998,33,33.380001,33.25972,116300,
2023/7/20,33.490002,34.029999,33.279999,33.959999,33.837631,158800,
2023/7/21,34.080002,34.240002,33.470001,33.57,33.449036,80600,
2023/7/24,33.450001,33.700001,33.060001,33.279999,33.16008,47400,
2023/7/25,33.080002,33.779999,33.080002,33.619999,33.498856,48700,
2023/7/26,33.560001,34.110001,33.369999,33.419998,33.299576,27400,
2023/7/27,33.529999,33.529999,32.259998,32.509998,32.392853,175800,
2023/7/28,32.689999,32.98,32.400002,32.400002,32.283253,64400,
2023/7/31,32.68,32.810001,32.25,32.369999,32.253361,48700,
2023/8/1,32.290001,32.48,32,32.299999,32.183613,41900,
2023/8/2,31.879999,32.139999,31.77,31.9,31.785053,77400,
2023/8/3,31.93,31.93,30.41,31.360001,31.247,126700,
2023/8/4,30.709999,31.709999,30.68,31.120001,31.120001,45400,
2023/8/7,31.17,31.41,31,31.059999,31.059999,45800,
2023/8/8,31,31.17,30.73,31.1,31.1,66900,
2023/8/9,31.120001,31.77,31.049999,31.549999,31.549999,48900,
2023/8/10,31.73,31.799999,30.719999,30.959999,30.959999,42600,
2023/8/11,31.08,31.32,30.34,30.370001,30.370001,53100,
